Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne)
28/05/2024,"6,485.33","8,045.00","8,172.30","7,512.39"
24/05/2024,"6,274.67","7,645.00","7,824.80","7,210.94"
23/05/2024,"6,171.00","7,735.00","7,795.80","7,201.37"
22/05/2024,"5,780.67","7,043.67","7,206.72","6,650.00"
21/05/2024,"5,665.67","6,865.00","7,037.99","6,484.10"
20/05/2024,"5,569.67","6,803.00","6,944.92","6,394.54"
17/05/2024,"5,684.67","6,804.00","7,018.73","6,454.07"
16/05/2024,"5,770.00","6,792.00","7,058.51","6,492.42"
15/05/2024,"6,071.00","7,300.67","7,496.16","6,904.34"
14/05/2024,"5,744.00","6,902.33","7,072.04","6,537.04"
13/05/2024,"5,592.33","6,728.67","6,882.47","6,374.54"
10/5/24,"6,982.67","8,324.33","8,542.57","7,930.49"
9/5/24,"6,910.67","8,117.33","8,385.61","7,785.62"
8/5/24,"6,874.67","8,150.00","8,378.71","7,791.37"
7/5/24,"6,875.00","8,005.67","8,318.27","7,722.27"
6/5/24,"6,621.50","7,151.67","7,744.56","7,185.02"
3/5/24,"6,368.00","7,574.33","7,788.18","7,230.55"
2/5/24,"6,013.67","6,862.67","7,196.79","6,722.52"
1/5/24,"6,652.67","7,818.67","8,067.25","7,555.79"
30/04/2024,"7,301.33","8,571.67","8,860.48","8,291.20"
29/04/2024,"7,099.33","8,392.67","8,657.55","8,078.36"
26/04/2024,"8,383.33","10,093.67","10,281.81","9,621.71"
25/04/2024,"8,625.00","10,160.00","10,474.08","9,770.74"
24/04/2024,"8,813.33","10,411.00","10,690.70","10,004.36"
23/04/2024,"8,395.33","9,773.67","10,111.25","9,456.55"
22/04/2024,"8,903.00","10,276.33","10,639.55","9,921.38"
19/04/2024,"9,080.00","10,660.67","10,966.97","10,291.95"
18/04/2024,"8,666.00","10,317.00","10,566.08","9,910.99"
17/04/2024,"7,940.00","9,450.33","9,671.19","9,087.05"
16/04/2024,"7,714.00","9,161.00","9,382.27","8,828.72"
15/04/2024,"8,187.00","9,757.00","9,986.57","9,384.88"
12/4/24,"8,562.00","10,374.67","10,526.38","9,888.48"
11/4/24,"8,151.33","9,862.67","10,046.29","9,369.68"
10/4/24,"8,035.33","9,904.00","9,996.98","9,305.19"
9/4/24,"7,816.67","9,641.00","9,779.78","9,007.67"
8/4/24,"7,782.00","9,235.67","9,544.81","8,796.98"
5/4/24,"7,563.33","9,374.33","9,470.41","8,735.03"
4/4/24,"7,311.00","9,082.67","9,177.24","8,446.73"
3/4/24,"7,379.00","8,948.67","9,141.00","8,442.63"
2/4/24,"7,848.67","9,311.33","9,596.01","8,910.85"
1/4/24,"7,774.00","9,669.00","9,717.35","9,046.37"
28/03/2024,"7,699.33","9,193.33","9,465.34","8,764.90"
27/03/2024,"7,652.33","9,266.00","9,471.00","8,750.73"
26/03/2024,"7,615.67","9,094.67","9,361.39","8,645.71"
25/03/2024,"7,545.33","9,025.00","9,285.87","8,568.53"
22/03/2024,"6,837.00","8,254.33","8,437.72","7,807.43"
21/03/2024,"6,521.33","7,915.00","8,091.21","7,449.98"
20/03/2024,"6,327.67","7,770.67","7,913.37","7,286.23"
19/03/2024,"6,088.33","7,413.00","7,584.46","6,981.88"
18/03/2024,"6,196.00","7,615.67","7,755.00","7,131.88"
15/03/2024,"5,838.67","7,260.33","7,350.42","6,752.10"
14/03/2024,"5,520.00","6,760.00","6,902.17","6,339.99"
13/03/2024,"5,264.00","6,490.00","6,616.59","6,043.26"
12/3/24,"5,295.00","6,496.33","6,634.58","6,076.95"
11/3/24,"5,099.33","6,291.67","6,413.87","5,869.65"
8/3/24,"4,867.00","6,036.67","6,148.30","5,618.63"
7/3/24,"4,973.67","6,085.00","6,226.52","5,691.97"
6/3/24,"5,073.00","6,167.67","6,322.18","5,794.28"
5/3/24,"5,074.33","6,058.33","6,257.08","5,760.58"
4/3/24,"5,132.33","6,171.33","6,346.24","5,843.62"
1/3/24,"4,953.33","5,979.00","6,125.21","5,655.71"
29/02/2024,"4,830.33","5,756.67","5,931.95","5,488.83"
28/02/2024,"4,814.33","5,717.33","5,912.04","5,451.49"
27/02/2024,"5,141.33","6,144.33","6,336.91","5,839.15"
26/02/2024,"5,201.00","6,201.33","6,401.61","5,897.48"
23/02/2024,"5,011.00","5,715.00","6,026.96","5,567.70"
22/02/2024,"4,777.00","5,754.67","5,900.94","5,456.01"
21/02/2024,"4,727.00","5,755.67","5,863.41","5,420.43"
20/02/2024,"4,512.33","5,507.00","5,607.66","5,186.25"
19/02/2024,"4,400.67","5,367.50","5,455.18","5,065.13"
16/02/2024,"4,328.67","5,228.00","5,340.84","4,960.04"
15/02/2024,"4,489.33","5,472.67","5,562.14","5,168.90"
14/02/2024,"4,645.67","5,651.00","5,744.26","5,353.36"
13/02/2024,"4,656.33","5,715.33","5,794.18","5,405.39"
12/2/24,"4,566.33","5,611.00","5,691.42","5,282.49"
9/2/24,"4,568.00","5,613.67","5,692.55","5,279.56"
8/2/24,"4,499.00","5,609.67","5,645.05","5,239.46"
7/2/24,"4,260.33","5,274.67","5,328.91","4,948.95"
6/2/24,"4,161.00","5,143.67","5,192.74","4,830.03"
5/2/24,"4,107.00","5,090.33","5,119.95","4,768.98"
2/2/24,"3,960.33","4,937.33","4,970.80","4,608.18"
1/2/24,"3,894.67","4,886.00","4,922.35","4,530.77"
31/01/2024,"3,807.33","4,747.00","4,798.20","4,420.82"
30/01/2024,"3,795.00","4,734.67","4,775.17","4,403.90"
29/01/2024,"3,719.67","4,682.00","4,700.29","4,349.65"
26/01/2024,"3,671.67","4,591.00","4,625.26","4,298.21"
25/01/2024,"3,641.00","4,541.00","4,582.54","4,229.45"
24/01/2024,"3,708.67","4,698.67","4,714.07","4,325.63"
23/01/2024,"3,643.67","4,571.00","4,592.85","4,241.27"
22/01/2024,"3,631.67","4,521.33","4,573.04","4,197.59"
19/01/2024,"3,653.00","4,528.00","4,580.73","4,206.94"
18/01/2024,"3,584.33","4,415.67","4,482.27","4,126.60"
17/01/2024,"3,589.67","4,386.67","4,468.28","4,114.84"
16/01/2024,"3,582.00","4,373.00","4,454.00","4,093.44"
15/01/2024,"3,492.00","4,320.17","4,383.70","4,004.07"
12/1/24,"3,475.33","4,267.33","4,348.24","3,968.85"
11/1/24,"3,434.00","4,224.67","4,296.19","3,924.57"
10/1/24,"3,378.00","4,161.33","4,231.35","3,859.63"
9/1/24,"3,332.00","4,103.00","4,171.24","3,815.64"
9/1/24,"3,332.00","4,103.00","4,171.24","3,815.64"
8/1/24,"3,268.00","4,053.00","4,112.55","3,747.97"
5/1/24,"3,373.67","4,167.67","4,233.70","3,864.31"
4/1/24,"3,424.00","4,217.67","4,281.88","3,909.99"
3/1/24,"3,421.00","4,197.33","4,262.19","3,907.36"
2/1/24,"3,439.00","4,233.00","4,289.52","3,915.26"
29/12/2023,"3,376.00","4,160.00","4,231.52","3,825.51"
28/12/2023,"3,416.67","4,216.00","4,285.61","3,870.55"
26/12/2023,"3,417.33","4,241.00","4,293.07","3,890.81"
22/12/2023,"3,425.33","4,263.67","4,311.54","3,917.04"
21/12/2023,"3,436.33","4,246.67","4,301.20","3,913.87"
20/12/2023,"3,438.00","4,254.00","4,304.46","3,928.89"
19/12/2023,"3,417.33","4,239.33","4,299.33","3,916.90"
18/12/2023,"3,429.67","4,231.33","4,283.30","3,922.86"
15/12/2023,"3,416.00","4,200.00","4,272.15","3,917.35"
15/12/2023,"3,416.00","4,200.00","4,272.15","3,917.35"
14/12/2023,"3,412.33","4,214.67","4,285.77","3,898.98"
13/12/2023,"3,428.67","4,184.67","4,241.76","3,931.27"
12/12/23,"3,416.67","4,169.33","4,230.50","3,921.04"
11/12/23,"3,390.67","4,138.33","4,198.93","3,907.52"
7/12/23,"3,394.33","4,162.67","4,217.98","3,907.33"
5/12/23,"3,320.67","4,072.00","4,128.35","3,826.78"
4/12/23,"3,361.67","4,112.67","4,181.33","3,862.92"
1/12/23,"3,383.33","4,168.33","4,230.81","3,890.02"
30/11/2023,"3,437.00","4,241.67","4,293.79","3,939.34"
29/11/2023,"3,432.00","4,230.00","4,295.35","3,914.14"
28/11/2023,"3,389.00","4,168.33","4,241.01","3,852.75"
27/11/2023,"3,344.33","4,099.00","4,160.61","3,804.25"
24/11/2023,"3,323.33","4,051.67","4,121.69","3,770.32"
23/11/2023,"3,328.00","4,051.17","4,113.74","4,051.17"
22/11/2023,"3,317.67","4,050.67","4,096.14","3,768.65"
21/11/2023,"3,328.00","4,097.33","4,137.40","3,787.59"
20/11/2023,"3,299.33","4,018.00","4,074.30","3,722.69"
17/11/2023,"3,373.33","4,084.00","4,144.01","3,802.19"
16/11/2023,"3,340.67","4,019.00","4,086.56","3,766.79"
15/11/2023,"3,303.33","3,971.67","4,041.66","3,724.39"
14/11/2023,"3,400.33","3,953.33","4,100.94","3,776.35"
13/11/2023,"3,475.00","4,048.33","4,158.25","3,886.51"
10/11/23,"3,443.33","4,014.00","4,114.23","3,851.95"
9/11/23,"3,395.33","3,953.00","4,063.19","3,794.00"
8/11/23,"3,334.67","3,917.00","4,011.57","3,744.20"
7/11/23,"3,310.00","3,889.00","3,981.81","3,726.17"
6/11/23,"3,306.67","3,930.67","4,015.96","3,737.26"
3/11/23,"3,309.00","3,915.67","4,008.67","3,732.87"
2/11/23,"3,319.67","3,872.33","3,960.17","3,730.68"
1/11/23,"3,279.67","3,808.33","3,894.43","3,696.98"
31/10/2023,"3,311.67","3,835.00","3,929.50","3,718.69"
30/10/2023,"3,317.00","3,842.67","3,939.15","3,713.43"
27/10/2023,"3,322.67","3,864.33","3,953.68","3,732.27"
26/10/2023,"3,307.33","3,827.00","3,917.83","3,720.96"
25/10/2023,"3,247.00","3,749.00","3,848.03","3,636.00"
24/10/2023,"3,215.00","3,745.67","3,831.89","3,616.35"
23/10/2023,"3,240.67","3,767.33","3,868.09","3,634.07"
20/10/2023,"3,189.33","3,710.33","3,795.08","3,584.07"
19/10/2023,"3,139.67","3,656.67","3,737.88","3,533.98"
18/10/2023,"3,106.33","3,638.67","3,708.53","3,521.62"
17/10/2023,"3,112.00","3,644.67","3,723.77","3,515.61"
16/10/2023,"3,087.67","3,586.67","3,678.43","3,488.26"
13/10/2023,"3,021.33","3,522.67","3,596.94","3,425.37"
12/10/23,"2,997.67","3,498.33","3,582.39","3,393.96"
11/10/23,"2,920.00","3,446.33","3,520.57","3,318.49"
10/10/23,"2,948.67","3,476.67","3,552.28","3,345.00"
9/10/23,"2,924.33","3,436.00","3,504.48","3,325.22"
6/10/23,"2,932.00","3,469.00","3,533.14","3,334.75"
5/10/23,"2,897.33","3,402.67","3,466.32","3,293.17"
4/10/23,"2,918.67","3,430.33","3,489.13","3,320.78"
3/10/23,"2,925.00","3,430.33","3,482.82","3,330.62"
2/10/23,"2,975.33","3,499.33","3,555.54","3,388.08"
29/09/2023,"2,896.67","3,418.67","3,479.85","3,288.28"
28/09/2023,"2,919.00","3,446.67","3,505.89","3,320.26"
27/09/2023,"2,890.33","3,437.33","3,472.59","3,306.43"
26/09/2023,"2,939.33","3,498.33","3,539.73","3,348.06"
25/09/2023,"2,918.33","3,489.33","3,529.59","3,331.05"
22/09/2023,"2,953.33","3,570.67","3,597.13","3,374.65"
21/09/2023,"2,931.00","3,566.67","3,587.73","3,364.93"
20/09/2023,"2,919.33","3,573.00","3,595.83","3,356.17"
19/09/2023,"2,978.33","3,629.33","3,659.67","3,425.45"
18/09/2023,"2,962.67","3,619.00","3,646.58","3,409.55"
15/09/2023,"3,050.33","3,740.33","3,761.07","3,525.25"
14/09/2023,"3,042.67","3,725.67","3,750.88","3,522.64"
13/09/2023,"3,024.67","3,722.33","3,750.60","3,493.12"
12/9/23,"2,977.33","3,651.67","3,683.61","3,434.23"
11/9/23,"2,969.00","3,669.67","3,695.21","3,438.95"
8/9/23,"2,981.00","3,656.00","3,685.76","3,443.05"
7/9/23,"2,925.00","3,610.67","3,630.90","3,391.44"
6/9/23,"2,931.33","3,656.67","3,661.81","3,414.82"
5/9/23,"2,912.33","3,655.33","3,660.03","3,411.33"
4/9/23,"2,862.33","3,634.00","3,623.70","3,356.82"
1/9/23,"2,872.67","3,612.67","3,613.89","3,350.80"
31/08/2023,"2,899.00","3,639.67","3,656.78","3,372.29"
30/08/2023,"2,873.33","3,635.33","3,644.39","3,336.80"
29/08/2023,"2,836.00","3,588.00","3,583.52","3,302.39"
28/08/2023,"2,793.00","3,492.00","3,504.40","3,242.45"
25/08/2023,"2,750.00","3,469.00","3,463.22","3,210.92"
24/08/2023,"2,698.67","3,434.67","3,421.81","3,160.73"
23/08/2023,"2,675.67","3,418.67","3,410.19","3,140.44"
22/08/2023,"2,674.00","3,412.33","3,408.64","3,141.23"
21/08/2023,"2,677.33","3,448.67","3,430.73","3,147.52"
18/08/2023,"2,673.33","3,433.00","3,418.74","3,143.71"
17/08/2023,"2,692.33","3,480.33","3,456.06","3,176.81"
16/08/2023,"2,670.67","3,444.33","3,423.58","3,140.11"
15/08/2023,"2,663.33","3,424.00","3,406.75","3,120.58"
14/08/2023,"2,657.67","3,357.00","3,366.72","3,080.04"
11/8/23,"2,619.00","3,334.67","3,330.66","3,041.73"
10/8/23,"2,598.33","3,316.67","3,310.35","3,005.64"
9/8/23,"2,606.00","3,339.00","3,328.48","3,031.41"
8/8/23,"2,614.67","3,358.67","3,345.14","3,054.95"
7/8/23,"2,672.00","3,487.67","3,450.24","3,136.79"
4/8/23,"2,655.67","3,497.00","3,445.40","3,122.57"
3/8/23,"2,653.00","3,489.00","3,430.81","3,134.22"
2/8/23,"2,695.67","3,540.67","3,484.64","3,184.09"
1/8/23,"2,694.67","3,547.33","3,492.59","3,183.50"
31/07/2023,"2,685.00","3,543.33","3,497.65","3,176.04"
28/07/2023,"2,668.00","3,513.67","3,474.76","3,148.48"
27/07/2023,"2,661.00","3,519.33","3,470.16","3,156.11"
26/07/2023,"2,650.33","3,543.00","3,484.61","3,145.21"
25/07/2023,"2,607.67","3,459.00","3,408.32","3,083.67"
24/07/2023,"2,562.67","3,410.00","3,347.93","3,021.67"
21/07/2023,"2,553.33","3,395.33","3,338.50","3,002.48"
20/07/2023,"2,536.00","3,389.33","3,323.60","2,984.43"
19/07/2023,"2,549.33","3,408.00","3,347.75","2,991.04"
18/07/2023,"2,506.33","3,401.67","3,335.34","2,971.95"
17/07/2023,"2,484.33","3,359.67","3,303.35","2,939.81"
14/07/2023,"2,466.00","3,335.33","3,283.02","2,921.56"
13/07/2023,"2,418.33","3,281.67","3,224.12","2,878.97"
12/7/23,"2,519.00","3,335.67","3,303.55","2,969.89"
11/7/23,"2,550.67","3,340.67","3,313.92","3,014.84"
10/7/23,"2,553.00","3,329.67","3,301.88","3,005.54"
7/7/23,"2,527.67","3,307.67","3,275.33","2,987.59"
6/7/23,"2,546.00","3,321.67","3,278.75","3,014.65"
5/7/23,"2,581.67","3,368.00","3,323.10","3,057.92"
4/7/23,"2,583.00","3,380.50","3,333.17","3,058.51"
3/7/23,"2,603.00","3,393.00","3,347.45","3,066.27"
30/06/2023,"2,561.33","3,342.33","3,298.19","3,019.99"
29/06/2023,"2,498.00","3,273.67","3,211.82","2,951.99"
28/06/2023,"2,539.00","3,341.67","3,273.58","3,002.20"
27/06/2023,"2,482.67","3,262.67","3,212.67","2,931.08"
26/06/2023,"2,480.33","3,256.67","3,204.59","2,937.80"
23/06/2023,"2,429.67","3,207.00","3,144.64","2,888.98"
22/06/2023,"2,429.00","3,206.33","3,150.20","2,876.60"
21/06/2023,"2,443.33","3,227.33","3,170.56","2,893.93"
20/06/2023,"2,422.33","3,204.33","3,144.89","2,885.59"
19/06/2023,"2,423.33","3,217.50","3,158.23","2,893.25"
16/06/2023,"2,416.33","3,230.67","3,165.17","2,897.08"
15/06/2023,"2,425.00","3,245.67","3,171.56","2,900.87"
14/06/2023,"2,453.67","3,206.67","3,162.39","2,912.72"
13/06/2023,"2,435.33","3,176.67","3,125.82","2,895.92"
12/6/23,"2,396.00","3,132.33","3,065.10","2,852.08"
9/6/23,"2,418.33","3,171.67","3,109.32","2,892.45"
8/6/23,"2,382.00","3,147.67","3,070.38","2,848.70"
7/6/23,"2,361.33","3,094.00","3,019.82","2,821.57"
6/6/23,"2,329.00","3,051.00","2,974.14","2,781.12"
5/6/23,"2,333.33","3,058.00","2,983.02","2,782.71"
2/6/23,"2,312.33","3,032.67","2,960.10","2,762.36"
1/6/23,"2,307.00","3,016.00","2,956.62","2,750.10"
31/05/2023,"2,313.33","3,008.67","2,940.97","2,760.69"
30/05/2023,"2,317.67","3,017.33","2,948.63","2,750.34"
26/05/2023,"2,323.33","3,005.67","2,939.41","2,743.20"
25/05/2023,"2,327.00","3,018.67","2,945.62","2,746.93"
24/05/2023,"2,317.00","3,020.67","2,945.31","2,738.11"
23/05/2023,"2,314.67","3,018.00","2,949.88","2,738.52"
22/05/2023,"2,321.67","2,891.64","2,958.48","2,737.78"
19/05/2023,"2,338.67","3,068.67","2,995.24","2,768.50"
18/05/2023,"2,286.00","2,990.67","2,917.40","2,708.80"
17/05/2023,"2,266.33","3,003.67","2,919.25","2,695.20"
16/05/2023,"2,258.33","2,988.00","2,906.93","2,675.68"
15/05/2023,"2,231.67","2,981.00","2,891.43","2,660.26"
12/5/23,"2,238.00","2,987.67","2,890.07","2,663.34"
11/5/23,"2,235.33","3,011.33","2,907.05","2,663.15"
10/5/23,"2,234.33","3,028.00","2,925.93","2,668.01"
9/5/23,"2,221.00","3,007.00","2,907.51","2,654.70"
8/5/23,"2,206.83","2,964.00","2,878.93","2,612.48"
5/5/23,"2,192.67","2,946.00","2,861.89","2,596.02"
4/5/23,"2,176.33","2,922.67","2,833.29","2,572.77"
3/5/23,"2,157.67","2,869.00","2,790.92","2,526.20"
2/5/23,"2,177.33","2,895.00","2,808.71","2,553.12"
1/5/23,"2,181.50","2,932.00","2,832.16","2,582.37"
28/04/2023,"2,185.67","2,936.33","2,845.90","2,578.81"
27/04/2023,"2,192.00","2,912.67","2,826.61","2,565.85"
26/04/2023,"2,195.67","2,938.00","2,842.28","2,573.40"
25/04/2023,"2,190.33","2,912.33","2,817.29","2,568.10"
24/04/2023,"2,210.00","2,957.67","2,859.64","2,592.27"
21/04/2023,"2,234.33","2,965.67","2,873.82","2,619.05"
20/04/2023,"2,212.00","2,938.67","2,849.07","2,598.35"
19/04/2023,"2,221.67","2,956.33","2,863.43","2,614.31"
18/04/2023,"2,221.00","2,949.00","2,857.85","2,608.22"
17/04/2023,"2,199.33","2,901.67","2,814.04","2,578.36"
14/04/2023,"2,196.33","2,915.67","2,825.76","2,573.71"
13/04/2023,"2,183.33","2,941.00","2,842.12","2,571.41"
12/4/23,"2,162.67","2,893.00","2,799.41","2,547.32"
11/4/23,"2,186.67","2,923.33","2,822.21","2,588.39"
10/4/23,"2,181.00","2,874.67","2,791.46","2,570.80"
6/4/23,"2,175.33","2,884.33","2,800.12","2,562.53"
5/4/23,"2,155.00","2,884.67","2,788.62","2,554.37"
4/4/23,"2,137.67","2,891.33","2,784.86","2,543.00"
3/4/23,"2,121.67","2,842.67","2,740.75","2,516.69"
31/03/2023,"2,155.67","2,895.33","2,784.13","2,561.26"
30/03/2023,"2,129.33","2,892.67","2,766.36","2,538.41"
29/03/2023,"2,118.67","2,852.67","2,733.92","2,525.32"
28/03/2023,"2,135.00","2,874.67","2,758.26","2,543.53"
27/03/2023,"2,135.33","2,864.33","2,746.73","2,545.67"
24/03/2023,"2,128.00","2,841.33","2,723.91","2,532.28"
23/03/2023,"2,112.33","2,831.33","2,720.08","2,496.90"
22/03/2023,"2,128.67","2,832.33","2,722.74","2,521.26"
21/03/2023,"2,107.33","2,788.67","2,683.55","2,492.21"
20/03/2023,"2,084.67","2,767.00","2,666.61","2,486.35"
17/03/2023,"2,079.33","2,719.67","2,629.73","2,465.51"
16/03/2023,"2,050.00","2,673.33","2,582.35","2,431.80"
15/03/2023,"2,032.33","2,618.00","2,533.28","2,402.81"
14/03/2023,"2,038.33","2,663.00","2,574.83","2,401.80"
13/03/2023,"2,033.67","2,653.00","2,566.58","2,390.00"
10/3/23,"2,069.67","2,707.00","2,605.70","2,444.41"
9/3/23,"2,104.00","2,730.00","2,624.93","2,482.00"
8/3/23,"2,111.33","2,734.67","2,622.63","2,486.77"
7/3/23,"2,117.67","2,758.00","2,640.07","2,496.98"
6/3/23,"2,113.00","2,798.67","2,677.49","2,503.99"
3/3/23,"2,097.67","2,762.00","2,644.58","2,490.93"
2/3/23,"2,125.33","2,786.00","2,667.03","2,518.21"
1/3/23,"2,146.33","2,835.67","2,714.43","2,543.02"
28/02/2023,"2,104.67","2,789.33","2,671.67","2,520.72"
27/02/2023,"2,094.33","2,753.67","2,641.92","2,493.57"
24/02/2023,"2,089.67","2,736.67","2,621.40","2,486.14"
23/02/2023,"2,092.00","2,765.67","2,644.62","2,499.17"
22/02/2023,"2,095.00","2,771.00","2,653.76","2,498.78"
21/02/2023,"2,087.67","2,772.67","2,655.58","2,492.13"
20/02/2023,"2,110.33","2,766.83","2,659.06","2,487.68"
17/02/2023,"2,088.33","2,761.00","2,642.38","2,471.81"
16/02/2023,"2,080.67","2,734.00","2,622.42","2,452.49"
15/02/2023,"2,074.00","2,717.67","2,610.18","2,446.00"
14/02/2023,"2,031.67","2,657.00","2,568.22","2,395.12"
13/02/2023,"2,026.33","2,649.33","2,560.07","2,386.75"
10/2/23,"1,995.67","2,603.00","2,510.08","2,352.07"
9/2/23,"1,989.67","2,604.33","2,516.96","2,339.01"
8/2/23,"2,013.67","2,602.67","2,523.33","2,351.49"
7/2/23,"2,020.00","2,603.00","2,517.44","2,355.44"
6/2/23,"2,015.00","2,607.33","2,518.71","2,349.71"
3/2/23,"2,002.33","2,607.67","2,517.90","2,324.27"
2/2/23,"2,004.00","2,623.33","2,543.58","2,329.28"
1/2/23,"2,007.00","2,616.33","2,547.94","2,333.66"
31/01/2023,"2,003.00","2,616.00","2,546.56","2,345.50"
30/01/2023,"2,014.00","2,646.00","2,573.24","2,368.54"
27/01/2023,"2,011.00","2,647.67","2,572.82","2,369.69"
26/01/2023,"2,005.67","2,649.00","2,569.02","2,364.65"
25/01/2023,"1,981.33","2,616.00","2,538.41","2,328.86"
24/01/2023,"1,974.33","2,610.33","2,526.00","2,323.41"
23/01/2023,"1,979.00","2,621.33","2,539.18","2,337.95"
20/01/2023,"1,952.67","2,589.00","2,506.81","2,313.29"
19/01/2023,"1,955.33","2,581.33","2,504.49","2,315.40"
18/01/2023,"1,990.67","2,635.00","2,552.66","2,357.89"
17/01/2023,"2,011.00","2,657.00","2,566.02","2,378.06"
16/01/2023,"2,009.00","2,655.67","2,558.95","2,364.34"
13/01/2023,"2,021.33","2,654.33","2,564.27","2,372.34"
12/1/23,"2,008.33","2,652.67","2,554.53","2,360.00"
11/1/23,"2,009.33","2,644.00","2,545.18","2,369.82"
10/1/23,"1,987.33","2,618.67","2,521.95","2,349.33"
9/1/23,"2,019.33","2,693.67","2,584.13","2,402.34"
6/1/23,"2,002.00","2,611.67","2,518.50","2,371.67"
5/1/23,"2,021.00","2,623.67","2,520.64","2,394.61"
4/1/23,"1,996.67","2,607.00","2,512.98","2,368.48"
3/1/23,"1,994.00","2,572.67","2,484.48","2,353.17"
30/12/2022,"2,003.33","2,601.33","2,515.59","2,350.31"
29/12/2022,"1,986.67","2,576.67","2,491.01","2,335.20"
28/12/2022,"2,014.67","2,620.33","2,526.92","2,379.35"
27/12/2022,"2,008.67","2,631.33","2,527.04","2,375.93"
23/12/2022,"2,002.67","2,629.33","2,526.48","2,378.30"
22/12/2022,"1,989.00","2,606.00","2,504.16","2,365.55"
21/12/2022,"1,951.00","2,535.33","2,449.39","2,311.61"
20/12/2022,"1,931.67","2,502.67","2,428.64","2,290.93"
19/12/2022,"1,919.33","2,500.00","2,423.62","2,280.87"
16/12/2022,"1,910.33","2,478.67","2,406.36","2,268.11"
15/12/2022,"1,919.00","2,525.33","2,439.16","2,293.05"
14/12/2022,"1,900.67","2,531.33","2,449.54","2,299.02"
13/12/2022,"1,903.33","2,527.67","2,446.09","2,300.91"
12/12/22,"1,892.67","2,506.33","2,420.85","2,295.45"
9/12/22,"1,900.00","2,506.67","2,427.25","2,301.15"
8/12/22,"1,926.33","2,541.33","2,453.82","2,325.98"
7/12/22,"1,907.67","2,502.00","2,418.64","2,303.27"
6/12/22,"1,902.67","2,488.67","2,408.53","2,296.65"
5/12/22,"1,900.67","2,482.33","2,402.85","2,289.56"
