CustomerID,Age,Gender,Annual Income (k$),Spending Score (1-100),Purchase History,Sales
112,40,Male,121,96,78,780
113,38,Female,121,16,35,280
114,36,Female,117,96,80,800
115,65,Female,33,100,13,182
116,36,Male,82,21,77,847
117,53,Male,84,76,52,520
118,46,Female,127,51,22,110
119,35,Female,71,21,98,882
120,19,Male,75,60,91,1092
121,18,Male,106,51,15,180
122,64,Male,44,21,66,924
123,22,Male,141,6,88,1144
124,37,Male,129,73,23,184
125,28,Female,20,65,94,1316
126,59,Male,32,76,78,780
127,19,Female,24,58,28,308
128,20,Female,106,78,17,153
129,40,Male,91,6,50,600
130,29,Male,115,65,57,399
131,37,Female,98,86,33,396
132,22,Male,66,34,40,360
133,54,Female,45,56,75,375
134,55,Male,124,75,98,980
135,47,Male,107,3,21,126
136,26,Male,67,42,52,572
137,51,Female,100,62,81,1053
138,61,Male,16,6,28,196
139,52,Female,100,6,58,812
140,69,Male,147,63,99,792
141,39,Female,18,20,95,760
142,61,Male,20,21,89,712
143,41,Female,132,2,5,35
144,34,Female,103,90,83,747
145,27,Female,28,95,71,923
146,47,Female,70,90,10,120
147,63,Female,95,56,82,1148
148,40,Female,60,96,59,354
149,49,Male,30,10,42,546
150,34,Female,134,87,37,518
151,67,Female,98,70,12,72
152,68,Female,22,23,94,1034
153,34,Male,102,92,83,747
154,31,Male,145,30,82,902
155,26,Male,33,78,24,216
156,57,Female,111,37,59,590
157,19,Male,80,55,52,624
158,62,Male,93,96,87,435
159,42,Female,100,49,60,300
160,56,Female,138,34,92,828
161,26,Male,60,44,14,70
162,39,Female,127,22,56,392
163,60,Female,105,31,54,756
164,63,Female,47,7,38,494
165,21,Female,147,21,40,440
166,43,Male,91,16,65,650
167,46,Female,135,20,20,240
168,62,Male,142,43,83,996
169,51,Male,92,44,22,220
170,40,Male,81,47,75,600
171,54,Male,129,19,51,408
172,28,Female,77,48,90,720
173,23,Female,127,96,36,360
174,35,Female,108,79,47,235
175,38,Male,62,69,87,522
176,59,Male,26,11,44,440
177,53,Male,54,79,69,345
178,58,Female,99,29,39,507
179,55,Male,71,45,73,730
180,51,Female,101,68,54,594
181,34,Female,98,36,16,80
182,54,Female,135,48,80,960
183,42,Female,88,87,89,801
184,55,Male,121,15,62,558
185,29,Female,138,44,87,870
186,40,Male,114,67,67,737
187,59,Female,57,96,77,847
188,39,Male,133,74,53,477
189,38,Male,37,40,40,200
190,44,Female,51,86,58,754
191,48,Female,148,14,51,510
192,23,Female,79,63,36,468
193,44,Male,148,81,99,792
194,57,Female,36,85,57,342
195,51,Female,119,51,36,252
196,29,Male,102,79,66,528
197,62,Female,139,58,41,574
198,24,Male,93,15,42,504
199,27,Female,104,65,34,238
200,62,Male,65,88,62,744
201,34,Male,116,55,36,360
202,43,Female,120,76,70,560
203,38,Male,74,10,55,605
204,45,Female,60,42,15,135
205,63,Female,50,95,63,567
206,19,Male,25,11,24,312
207,60,Female,26,16,41,287
208,18,Male,53,73,77,1078
209,68,Male,50,78,53,424
210,53,Male,66,19,23,207
211,68,Male,45,31,59,295
212,43,Male,47,73,44,484
213,46,Male,72,100,11,132
214,38,Male,142,53,9,90
215,28,Male,45,90,46,598
216,57,Female,69,8,92,644
217,28,Female,24,24,52,312
218,53,Male,144,8,11,99
219,66,Female,29,83,15,195
220,56,Female,17,48,77,385
221,57,Female,57,30,53,265
222,52,Female,81,58,34,476
223,51,Female,70,86,45,315
224,64,Female,77,55,7,98
225,41,Male,29,73,90,630
226,39,Female,123,62,44,396
227,22,Female,130,48,55,440
228,50,Female,106,4,88,880
229,53,Female,61,37,36,432
230,64,Male,71,8,52,624
231,37,Male,64,1,75,600
232,36,Male,85,92,75,375
233,52,Male,96,70,24,264
234,69,Female,130,47,93,930
235,60,Male,119,100,39,351
236,34,Male,102,75,28,224
237,62,Male,16,5,44,440
238,60,Male,118,50,81,972
239,51,Female,98,24,56,560
240,26,Male,57,47,43,301
241,43,Female,85,18,72,936
242,19,Male,108,84,65,455
243,26,Female,56,28,80,640
244,26,Female,147,77,85,765
245,57,Male,79,5,69,414
246,34,Male,48,30,66,924
247,18,Male,134,1,85,1190
248,42,Male,15,86,6,36
249,60,Female,144,82,10,100
250,57,Female,75,46,79,474
251,59,Male,102,69,47,658
252,42,Male,82,31,86,430
253,56,Female,141,70,44,528
254,52,Male,36,91,93,1302
255,20,Female,96,56,43,602
256,67,Male,143,89,32,160
257,54,Female,44,93,84,1176
258,61,Female,140,28,67,670
259,61,Female,111,16,68,340
260,68,Female,38,54,16,192
261,47,Female,28,53,45,405
262,55,Male,50,12,33,231
263,51,Female,38,20,27,243
264,29,Male,109,82,89,445
265,36,Female,69,34,84,420
266,54,Female,38,53,55,440
267,61,Male,40,64,49,637
268,66,Male,94,23,94,1222
269,34,Male,79,27,26,130
270,27,Male,89,17,14,98
271,66,Female,57,48,11,88
272,64,Male,43,21,77,462
273,29,Female,95,50,93,1023
274,33,Male,68,40,19,133
275,41,Male,53,95,81,405
276,36,Female,56,3,50,250
277,25,Female,43,17,94,658
278,48,Male,145,61,89,890
279,38,Female,56,50,91,728
280,34,Female,108,90,65,325
281,40,Female,46,87,96,1056
282,54,Female,40,6,65,390
283,33,Female,129,28,55,495
284,23,Female,143,72,42,504
285,25,Female,70,55,16,176
286,42,Female,136,58,92,1104
287,35,Male,120,45,81,1134
288,42,Female,144,72,70,700
289,29,Male,95,19,58,638
290,32,Female,134,29,43,559
291,43,Female,66,23,80,800
292,58,Female,105,32,43,559
293,62,Female,36,10,82,492
294,43,Male,48,91,34,204
295,64,Male,124,49,52,312
296,49,Female,63,65,87,870
297,27,Male,143,29,35,210
298,33,Female,87,59,29,203
299,24,Female,98,45,72,864
300,34,Male,67,67,55,660
301,40,Male,114,51,17,136
302,43,Female,138,95,67,871
303,38,Female,59,11,46,552
304,39,Male,119,86,58,290
305,24,Female,120,82,71,852
306,31,Male,57,99,84,420
307,32,Female,148,6,94,752
308,24,Female,62,67,60,840
309,26,Male,140,62,23,230
310,68,Male,21,5,50,550
311,65,Male,30,9,19,266
312,25,Female,143,28,36,288
313,67,Female,129,83,53,636
314,40,Female,51,92,25,300
315,46,Female,139,91,69,897
316,35,Male,95,77,74,740
317,48,Female,76,38,31,248
318,47,Female,86,43,27,162
319,69,Female,139,21,51,561
320,56,Male,80,91,99,1386
321,52,Female,44,62,16,112
322,35,Female,34,46,89,623
323,59,Male,96,70,70,490
324,56,Female,121,38,9,72
325,34,Female,146,49,13,78
326,31,Male,51,75,24,216
327,48,Female,146,81,86,602
328,41,Female,91,39,67,938
329,52,Female,103,71,90,810
330,61,Male,102,30,76,836
331,62,Female,47,21,77,1001
332,51,Female,72,1,75,450
333,20,Male,42,89,34,442
334,54,Male,49,32,86,1204
335,60,Female,139,8,95,950
336,57,Female,79,69,20,200
337,43,Female,56,30,89,623
338,40,Female,99,8,9,126
339,61,Male,125,19,33,429
340,56,Female,29,59,51,408
341,32,Male,83,55,26,234
342,66,Male,119,30,82,574
343,21,Female,78,79,61,549
344,46,Female,55,36,87,1044
345,39,Male,85,55,39,468
346,42,Male,70,44,92,1104
347,30,Female,39,27,64,640
348,35,Male,119,77,74,370
349,50,Female,148,78,64,896
350,33,Female,133,54,62,620
351,62,Male,23,48,7,98
352,59,Male,74,30,38,418
353,61,Female,139,39,49,637
354,19,Male,63,13,54,648
355,52,Female,65,16,6,72
356,59,Female,84,44,19,209
357,51,Female,51,71,41,246
358,47,Male,45,27,19,95
359,30,Female,76,45,64,384
360,30,Female,107,35,89,890
361,35,Female,28,79,68,408
362,49,Female,93,28,85,1190
363,49,Female,22,99,56,448
364,52,Female,50,7,27,378
365,56,Female,62,62,41,287
366,63,Female,99,51,45,450
367,69,Female,42,46,61,732
368,46,Female,65,20,29,290
369,66,Female,118,96,41,246
370,46,Male,115,38,44,396
371,61,Female,43,61,89,890
372,33,Female,141,32,50,650
373,61,Female,96,26,64,640
374,64,Male,24,58,23,322
375,27,Female,120,39,95,855
376,47,Male,15,20,13,65
377,42,Female,53,82,73,1022
378,56,Female,35,50,9,81
379,37,Male,79,79,93,837
380,22,Female,29,52,30,300
381,18,Male,146,86,23,253
382,47,Male,75,22,34,272
383,66,Female,101,53,52,572
384,20,Female,119,85,20,180
385,62,Female,48,66,75,750
386,31,Female,138,43,22,176
387,47,Male,124,82,60,720
388,67,Male,47,23,25,325
389,21,Female,112,77,35,210
390,35,Male,75,64,5,40
391,54,Male,24,9,7,84
392,42,Female,98,7,99,1188
393,65,Male,79,41,29,377
394,18,Male,91,54,12,84
395,63,Female,15,65,69,345
396,32,Male,147,2,66,858
397,26,Female,94,4,11,55
398,32,Male,29,78,11,77
399,66,Female,42,32,12,84
400,41,Male,37,100,23,299
401,21,Male,123,2,21,105
402,29,Female,121,64,15,165
403,54,Female,127,14,53,318
404,54,Female,112,20,15,165
405,60,Female,42,89,45,225
406,23,Male,56,49,66,924
407,56,Male,113,8,56,784
408,63,Male,75,92,70,840
409,41,Female,137,63,72,1008
410,28,Male,78,46,96,1344
411,30,Male,45,21,79,474
412,51,Female,95,87,71,497
413,42,Female,24,32,44,528
414,24,Male,22,8,9,63
415,69,Female,73,95,89,445
416,21,Male,44,16,26,338
417,25,Male,34,40,41,492
418,37,Female,62,27,15,120
419,46,Male,144,18,48,576
420,68,Female,51,35,90,810
421,62,Female,143,52,57,399
422,63,Male,146,15,81,405
423,27,Male,114,63,65,910
424,60,Male,68,53,71,639
425,51,Female,136,91,17,170
426,43,Male,39,81,96,768
427,58,Female,145,66,15,165
428,66,Female,23,31,15,105
429,20,Male,48,61,89,979
430,23,Female,57,64,89,445
431,22,Male,88,98,11,121
432,22,Male,108,34,21,105
433,64,Male,36,55,52,260
434,40,Male,84,59,18,108
435,66,Male,144,3,67,402
436,26,Male,108,17,68,544
437,52,Male,46,78,79,395
438,37,Female,120,78,81,648
439,66,Male,15,46,69,414
440,59,Female,86,38,38,304
441,52,Female,64,35,13,104
442,67,Female,29,1,81,1053
443,35,Male,67,29,41,533
444,34,Female,22,4,34,170
445,41,Female,88,61,45,405
446,20,Male,60,97,49,539
447,49,Male,83,17,51,408
448,52,Female,128,28,11,99
449,55,Male,137,50,18,108
450,30,Male,131,90,52,364
451,64,Male,57,8,10,110
452,42,Male,34,34,38,532
453,26,Female,35,59,84,924
454,21,Male,96,18,50,400
455,31,Male,71,95,63,315
456,54,Male,88,59,74,370
457,51,Female,112,27,12,96
458,28,Female,124,16,28,224
459,58,Male,129,10,71,710
460,20,Male,56,76,8,88
461,45,Female,82,22,5,65
462,46,Male,84,16,38,494
463,26,Male,92,12,13,182
464,20,Female,104,75,67,603
465,42,Male,125,84,80,1120
466,51,Male,126,51,14,98
467,29,Female,117,1,14,98
468,59,Female,33,27,54,540
469,26,Male,84,67,48,240
470,32,Female,77,12,52,572
471,57,Male,89,30,91,637
472,42,Male,118,9,10,90
473,22,Male,89,53,92,1012
474,28,Female,142,61,28,308
475,51,Female,70,54,89,1157
476,41,Male,36,37,99,495
477,32,Male,103,65,62,434
478,55,Female,33,42,68,884
479,25,Female,40,49,98,1176
480,22,Female,37,4,60,360
481,65,Male,61,64,86,1032
482,43,Female,27,79,16,192
483,35,Female,80,51,39,234
484,23,Male,87,91,75,900
485,54,Male,91,72,93,651
486,65,Male,45,60,10,110
487,30,Female,99,87,69,897
488,45,Male,73,79,84,672
489,22,Male,55,91,64,640
490,30,Male,126,31,72,936
491,34,Male,110,72,33,297
492,67,Female,136,94,42,210
493,57,Male,119,58,96,672
494,62,Female,88,82,26,338
495,49,Female,146,4,12,84
496,46,Female,113,22,67,938
497,68,Male,140,3,17,102
498,20,Female,89,79,31,248
499,57,Male,28,99,22,198
500,51,Male,52,47,22,242
501,57,Male,59,38,81,891
502,44,Female,89,33,90,1170
503,30,Male,43,78,66,792
504,62,Male,32,48,18,108
505,50,Male,34,65,15,180
506,23,Female,28,26,90,1080
507,41,Female,68,8,21,189
508,36,Female,45,50,55,385
509,33,Male,72,80,18,234
510,57,Female,118,38,61,671
511,45,Male,142,10,97,485
512,50,Male,39,42,10,120
513,65,Female,33,37,61,854
514,58,Male,17,26,8,72
515,30,Female,100,92,15,150
516,60,Male,23,12,78,1014
517,62,Female,108,84,96,1344
518,42,Male,34,49,15,180
519,59,Male,49,14,83,581
520,53,Male,67,46,12,108
521,44,Male,124,35,88,704
522,55,Male,18,29,63,315
523,24,Female,116,12,25,225
524,22,Male,61,82,69,966
525,60,Female,108,44,97,1067
526,62,Female,62,66,28,140
527,68,Female,105,2,34,272
528,48,Male,98,59,88,880
529,40,Male,82,17,61,793
530,59,Male,139,10,84,1008
531,27,Female,87,18,77,462
532,49,Male,18,22,99,693
533,60,Male,90,83,21,294
534,47,Female,87,58,63,567
535,56,Female,91,53,35,385
536,48,Female,62,1,68,476
537,35,Female,116,88,52,572
538,53,Female,120,61,27,243
539,19,Female,91,100,74,1036
540,31,Male,53,89,34,340
541,30,Female,72,100,59,590
542,46,Male,33,31,11,88
543,29,Male,102,31,79,948
544,56,Male,127,66,16,208
545,19,Female,91,19,64,384
546,49,Male,91,53,56,728
547,30,Female,42,76,31,248
548,63,Female,80,74,16,160
549,44,Male,24,95,17,187
550,66,Female,140,22,76,608
551,58,Male,72,23,84,1008
552,34,Male,139,87,66,924
553,57,Female,126,15,33,396
554,48,Male,98,26,39,195
555,51,Male,110,3,64,768
556,41,Male,47,87,33,462
557,62,Female,61,20,35,245
558,52,Male,126,40,81,729
559,65,Female,57,39,80,1120
560,23,Female,22,72,65,780
561,36,Male,17,18,6,60
562,47,Male,139,41,37,296
563,24,Female,26,70,76,608
564,27,Female,98,27,66,528
565,58,Male,30,100,63,630
566,49,Male,92,15,44,484
567,51,Female,73,37,53,477
568,45,Female,77,58,36,504
569,32,Female,63,5,42,504
570,47,Female,65,73,96,1056
571,54,Female,47,7,83,996
572,46,Male,44,41,91,728
573,39,Female,90,84,92,1104
574,21,Female,29,10,17,170
575,37,Male,96,62,89,623
576,49,Male,106,26,58,696
577,53,Female,37,68,80,880
578,67,Female,108,24,17,238
579,21,Male,59,78,43,387
580,44,Female,76,41,27,216
581,34,Female,29,65,96,480
582,29,Male,60,17,18,252
583,39,Female,78,24,21,147
584,34,Male,89,27,28,168
585,27,Male,66,7,62,744
586,18,Male,102,73,67,804
587,39,Male,71,99,38,342
588,43,Female,97,12,55,495
589,35,Male,80,85,90,720
590,67,Female,34,3,14,70
591,31,Female,47,79,76,380
592,64,Female,86,85,25,250
593,46,Female,39,10,41,328
594,29,Female,60,33,11,88
595,53,Male,87,46,94,658
596,52,Male,112,59,17,221
597,69,Male,71,52,84,588
598,29,Male,101,6,34,408
599,24,Female,147,2,35,210
600,46,Male,69,29,9,72
601,28,Female,75,40,36,180
602,50,Female,103,97,20,180
603,23,Male,22,61,77,462
604,64,Male,30,68,26,130
605,32,Male,130,68,68,340
606,49,Male,75,29,48,288
607,68,Female,29,62,44,396
608,28,Female,145,60,41,533
609,40,Male,116,84,82,820
610,43,Female,68,41,20,160
611,51,Female,28,87,47,329
612,63,Female,50,82,88,1056
613,51,Male,119,89,67,469
614,46,Female,96,65,19,95
615,21,Male,81,64,48,384
616,34,Male,24,79,94,846
617,52,Female,63,63,13,117
618,30,Female,125,98,69,621
619,58,Male,79,48,48,576
620,56,Female,71,20,24,288
621,32,Female,41,37,74,592
622,46,Male,127,64,78,1014
623,46,Male,147,91,37,185
624,28,Male,85,86,84,756
625,69,Male,97,5,10,90
626,49,Female,71,34,87,783
627,19,Female,134,39,35,420
628,64,Male,107,67,70,910
629,31,Male,29,81,22,154
630,37,Male,125,62,32,416
631,39,Female,115,88,72,864
632,28,Male,133,24,69,483
633,44,Female,90,3,84,504
634,20,Male,34,71,49,392
635,34,Male,145,89,62,372
636,61,Male,87,67,51,408
637,45,Female,136,79,70,630
638,46,Female,55,93,56,336
639,38,Female,144,50,40,480
640,64,Male,37,29,5,25
641,33,Female,37,74,43,301
642,54,Female,23,32,91,1001
643,37,Male,27,87,94,1316
644,23,Male,65,39,79,395
645,36,Female,78,9,5,30
646,22,Female,66,14,79,553
647,20,Female,52,68,92,552
648,18,Female,114,64,78,468
649,55,Male,65,20,18,180
650,32,Male,69,28,82,902
651,51,Male,123,14,75,750
652,52,Female,58,44,27,270
653,66,Female,124,98,47,611
654,42,Male,142,77,26,312
655,41,Male,119,95,64,768
656,29,Female,24,97,31,310
657,35,Female,114,39,60,540
658,32,Male,123,28,6,78
659,61,Male,122,64,43,258
660,33,Male,108,89,55,605
661,44,Female,77,32,23,230
662,25,Female,98,9,66,726
663,63,Female,39,28,75,600
664,42,Female,26,95,80,1040
665,34,Female,39,17,71,781
666,46,Female,25,87,67,402
667,25,Male,78,77,9,72
668,32,Male,140,55,76,684
669,44,Female,64,10,82,492
670,63,Male,103,80,65,910
671,67,Female,113,6,75,900
672,69,Male,130,48,11,55
673,24,Female,110,75,54,378
674,20,Male,28,67,50,250
675,46,Male,15,92,76,684
676,61,Female,39,41,80,960
677,41,Female,86,79,78,858
678,20,Male,83,60,18,234
679,37,Male,147,77,77,462
680,63,Female,119,42,98,1176
681,32,Male,37,81,73,876
682,42,Female,23,71,69,690
683,47,Female,132,28,69,483
684,31,Male,108,13,61,366
685,24,Female,47,81,66,792
686,34,Male,144,15,24,240
687,61,Male,28,36,79,632
688,37,Female,15,92,30,270
689,53,Male,104,15,48,432
690,26,Female,103,75,71,923
691,55,Female,104,56,74,962
692,65,Female,28,95,66,792
693,39,Male,125,4,49,588
694,19,Female,97,99,15,90
695,41,Male,86,98,76,532
696,25,Female,144,52,97,1164
697,28,Female,41,91,78,702
698,30,Female,88,10,38,418
699,34,Male,113,94,92,1104
700,25,Male,86,45,50,500
701,38,Female,37,84,85,765
702,35,Female,82,29,36,432
703,47,Male,131,53,79,395
704,35,Male,120,29,92,460
705,63,Male,107,23,9,45
706,64,Female,79,57,67,469
707,48,Male,82,50,33,462
708,55,Female,142,21,52,520
709,49,Male,77,43,20,200
710,28,Female,127,10,29,261
711,62,Female,104,76,76,836
712,42,Female,95,30,33,297
713,50,Male,117,51,56,336
714,55,Male,130,33,50,400
715,58,Male,27,18,29,145
716,25,Female,138,78,27,297
717,28,Female,102,22,38,304
718,39,Male,25,64,71,568
719,68,Female,29,21,98,784
720,41,Female,24,1,38,266
721,58,Female,55,15,36,432
722,34,Male,87,36,33,264
723,29,Female,66,47,13,156
724,63,Male,142,54,70,910
725,49,Male,42,86,61,305
726,32,Male,79,32,43,344
727,33,Male,31,58,11,110
728,39,Male,109,46,73,876
729,45,Female,77,54,12,120
730,37,Male,52,33,22,220
731,50,Male,84,39,86,1204
732,27,Male,118,23,53,424
733,57,Female,67,43,20,260
734,49,Female,133,55,25,275
735,67,Female,88,2,14,140
736,50,Female,68,66,8,40
737,19,Male,34,38,48,288
738,50,Male,93,29,12,120
739,50,Female,45,67,59,295
740,58,Female,149,71,23,207
741,30,Female,72,36,68,340
742,47,Female,119,29,44,308
743,50,Male,24,37,55,605
744,30,Female,24,100,13,117
745,69,Female,53,87,34,476
746,43,Female,51,45,60,300
747,39,Female,133,16,85,425
748,56,Female,81,31,48,576
749,19,Female,57,34,63,819
750,55,Female,66,50,19,209
751,56,Male,115,65,72,504
752,43,Male,70,82,74,740
753,63,Male,90,62,65,455
754,67,Male,82,43,84,1176
755,32,Male,120,56,94,752
756,51,Male,139,15,27,216
757,59,Female,106,48,81,567
758,61,Female,37,49,51,714
759,66,Male,123,81,21,210
760,57,Female,75,44,61,549
761,28,Male,58,10,58,754
762,20,Female,30,20,95,1235
763,23,Female,36,70,56,392
764,26,Female,71,8,26,338
765,23,Female,76,45,87,609
766,26,Female,121,34,43,344
767,56,Female,85,96,17,85
768,48,Male,104,51,82,738
769,49,Male,86,4,99,1287
770,58,Female,84,39,70,420
771,67,Male,44,84,56,448
772,29,Female,117,24,18,252
773,25,Male,46,88,77,462
774,25,Female,100,55,78,936
775,67,Male,71,26,67,871
776,45,Female,123,25,75,525
777,37,Male,23,36,32,416
778,64,Female,45,71,93,930
779,24,Male,85,74,50,500
780,28,Female,27,58,32,352
781,37,Female,145,12,6,54
782,33,Female,49,1,21,210
783,21,Male,35,50,63,315
784,23,Male,78,25,56,392
785,39,Male,109,80,8,104
786,43,Female,48,5,81,729
787,20,Male,135,83,86,774
788,58,Female,29,68,7,84
789,59,Male,134,6,41,246
790,31,Male,110,26,28,308
791,28,Male,20,55,76,988
792,35,Male,123,39,39,429
793,29,Female,111,9,6,54
794,40,Male,46,45,37,370
795,29,Male,97,14,80,640
796,30,Female,132,55,90,990
797,42,Female,93,9,81,405
798,62,Male,92,15,14,112
799,68,Male,121,37,85,595
800,36,Female,140,50,66,528
801,63,Female,29,84,47,235
802,53,Female,148,72,73,438
803,62,Male,87,96,63,819
804,25,Male,115,21,13,143
805,46,Male,112,57,81,810
806,49,Female,40,19,64,384
807,68,Female,106,93,67,335
808,61,Female,139,58,56,336
809,35,Male,87,95,27,297
810,23,Female,137,6,34,204
811,35,Male,67,4,47,329
812,36,Female,92,43,72,864
813,39,Male,106,93,25,275
814,54,Male,102,42,47,611
815,49,Female,27,3,77,616
816,58,Male,57,1,11,121
817,20,Female,90,55,20,100
818,45,Male,65,15,27,162
819,27,Female,33,47,62,682
820,68,Female,136,85,91,546
821,52,Male,38,46,35,350
822,46,Female,40,58,73,1022
823,32,Male,134,95,10,130
824,50,Female,96,71,69,621
825,24,Female,114,81,63,882
826,29,Female,31,83,32,352
827,66,Female,82,39,22,110
828,47,Male,58,3,92,1104
829,38,Female,75,30,81,1053
830,48,Female,137,35,14,126
831,41,Male,107,57,11,110
832,37,Male,88,29,41,492
833,54,Male,81,50,49,392
834,21,Male,125,62,90,540
835,45,Male,16,52,20,280
836,61,Male,103,14,92,1104
837,37,Female,40,35,18,108
838,41,Male,113,28,15,135
839,67,Female,41,58,87,870
840,66,Male,103,30,91,819
841,68,Female,15,90,38,380
842,49,Female,117,7,64,640
843,58,Female,145,39,17,119
844,53,Male,55,95,43,301
845,51,Male,65,69,48,624
846,53,Male,29,35,32,224
847,19,Male,22,52,44,308
848,32,Female,52,14,20,120
849,51,Male,128,63,54,594
850,53,Female,97,36,32,448
851,23,Female,70,91,72,1008
852,56,Male,117,24,96,768
853,59,Male,116,40,64,320
854,68,Male,92,29,16,160
855,68,Female,97,53,20,180
856,29,Male,44,22,57,342
857,20,Female,19,72,58,580
858,62,Male,133,15,53,265
859,35,Female,45,69,40,280
860,57,Male,37,64,66,528
861,38,Male,62,4,88,616
862,32,Female,123,75,30,300
863,50,Male,54,18,60,480
864,52,Male,20,42,94,470
865,43,Male,52,30,26,234
866,25,Male,114,15,77,693
867,53,Male,41,70,73,949
868,65,Male,83,55,85,1020
869,47,Male,71,53,53,636
870,40,Female,31,16,6,54
871,59,Female,85,73,57,684
872,61,Male,61,34,11,154
873,31,Male,93,27,81,891
874,31,Male,124,13,24,120
875,19,Female,27,100,98,1078
876,54,Female,138,27,34,408
877,22,Male,123,73,79,553
878,55,Female,104,69,99,1287
879,62,Male,100,86,71,852
880,58,Male,106,31,63,378
881,64,Male,38,3,70,700
882,31,Male,87,30,7,56
883,56,Female,18,21,60,420
884,42,Female,127,99,83,830
885,37,Male,60,6,21,294
886,19,Female,32,92,56,728
887,56,Female,57,32,11,66
888,23,Male,107,42,9,126
889,34,Female,117,62,58,812
890,42,Male,138,89,65,910
891,45,Male,24,32,20,180
892,19,Male,87,99,71,710
893,52,Male,45,86,63,504
894,54,Female,74,88,51,561
895,22,Male,145,39,52,312
896,18,Female,132,64,68,748
897,57,Male,28,30,54,324
898,29,Male,16,63,89,445
899,53,Female,38,96,45,405
900,62,Male,78,31,76,456
901,40,Female,114,87,26,312
902,64,Female,128,40,58,696
903,48,Male,38,33,9,45
904,28,Male,105,63,21,168
905,27,Male,40,25,82,1066
906,20,Male,79,36,45,405
907,31,Male,134,24,96,1344
908,33,Male,18,95,99,990
909,27,Female,15,58,85,595
910,46,Female,64,39,39,351
911,27,Male,124,46,44,220
912,29,Female,88,77,26,312
913,47,Female,76,10,52,520
914,58,Male,95,87,57,342
915,18,Male,70,82,97,776
916,22,Female,125,32,14,112
917,37,Male,35,97,22,286
918,25,Female,23,36,84,1092
919,60,Male,84,28,53,477
920,29,Female,143,16,75,525
921,18,Female,132,16,34,170
922,37,Female,70,18,23,230
